ARTIST	LINK	ID	COMMENT	
			WOW  Wonderfull band	
			Awesome	
			Great horns.	
			You cannot beat Maurice’s silky tenor voice	
BTS	https://youtu.be/b9cG4DzpL_c	b9cG4DzpL_c	Lets face it Grammys can't afford a BTS stage	
			They literally turned an Award Show into a CONCERT.	
			Sorry Grammys but this was better than your whole show	
			This performance proved that BTS didn't forget from where they started	
			"I can't say anything except... ""I feel so proud! I'm about to cry."""	
			This shows how the Grammys can't afford a stage for BTS. It's like trying to put a chandelier inside a phone booth xD	
			So Grammys were scared of the quality that BTS serves	
			That water dance is one of Jungkook's MOST ICONIC dances ever	
			Ok. But This whole performance will forever be ICONIC.	
			I understand why Grammy is scared to invite BTS for a whole performance HAHAHAHA	
Disclosure	https://youtu.be/Hc7igEnZsIs	Hc7igEnZsIs	so soulful	
			What a beautiful voice Sinead Harnett!!	
			"Awesome set boys, love you "	
			Tenderly always gets me moving	
			This is soooo good. How have i only just seen it!	
			Freakin love this group!!!!!!	
			Still love this so much!	
			IN LOVE WITH THIS	
			omg	
			Wauw this is awesome!!	
	https://youtu.be/0dCi0f8esIk	0dCi0f8esIk	They deserve more than just a 30 minute set	
			"I LOVE how they play live instruments, and perform vocals. Awesome. "	
			"I'm getting kinda obsessed with their music, they're so so so good!"	
			the audience seems to be high	
			Music for people who weren't alive for the 90s	
			these guys seem to be so young.....how can they know so much about music??!	
			no sleeping during disclosure!	
			"These guys are the baddest on the planet, no one can touch their music."	
			"love how people lose their shit when they hear ""when the fire stars to burn"""	
			Bless these boys.	
Explosions In The Sky	https://youtu.be/DNMhiMtNq2g	DNMhiMtNq2g	Your hand in mine-the most beautiful creation ever made in post rock.	
			After watching this I realize that the earth is not a cold dead place.	
			Instrumental songs that express more than any lyrics	
			"With tired eyes, tired minds, tired souls, we slept"	
			The ending is one of my favorite things they do for their shows. From absolute chaos to silence. It's perfect.	
			"GUYS, THAT ENDING."	
			"Although wonderful, especially on headphones, you really have to see them live."	
			One of the best bands I've ever seen.	
			"Oh, my favorite. Simply the best"	
			...................sounds like the holy water of music to me.	
	https://youtu.be/zDtW-WdYj-E	zDtW-WdYj-E	"lol, that crowd didn't even know the lyrics... oh wait"	
			are they playing in front of wolves?	
			Your Hand In Mine has got to be one of the most beautiful arrangements ever written	
			"my eyes tear up. Sufism is all about soul, this has soul"	
			"Raaah the sound is too much compressed, we can't hear the width of the reveeeerbs :P"	
			its always great to see bands that just really love to play live lol	
			They always nail Disintegration Anxiety	
			Catastrophe and the cure .... such a masterpiece !	
			The Birth and Death of the Day is an absolute killer.  The intro is the burning sun coming up over the horizon.  So good!	
			Best concert I've ever been to	
	https://youtu.be/pl8w74mH1Nw	pl8w74mH1Nw	"Dude, this ""The Moon Is Down"" performance is simply SUPERB!"	
			Such a respectful audience. Would love to see them love	
			"What a passion, what a performance! A-mazing with a capital A."	
			awesome band!	
			Wow amazing setlist	
			"Nice audience, no wolf howling during the songs and in the breaks. Thumbs up! "	
			EITS ROCK! Superb guys thanks!	
			explosions in the sky a toda hora !	
			Your Hand In Mine ♡	
			One of my favorite!	
Mogwai	https://youtu.be/T2aFPe7mrhg	T2aFPe7mrhg	"Funny all the people recording the show on their phones. Could have just enjoyed it, and watched a high quality recording on youtube."	
			One of the greatest live bands I've ever seem. So many layers. Great quality here too.	
			I have loved this band for 20 years.  I can't get enough of them.  	
			Nailed it this band is legendary.	
			I feel like people went deaf after this show.	
			"Best version of ""I'm Jim morrison i'm dead"" ever "	
			NOOOT LOOOUUD ENOOOUUGH	
			"weird. never get tired of listening for 10 years,"	
			Mogwai Fear Satan	
			Genial :)	
Tommy Emmanuel	https://youtu.be/ulTpIP46wFA	ulTpIP46wFA	One of His best concerts and I've seen	
			"Totally random but Tommy's hair is actually amazing, especially for 63."	
			"Tommy is like a good wine, hée goes better and better with time, its Incredible"	
			Phil's song is magical...	
			Tommy has been playing almost 6 decades....he started at 4 years old in 1959.....	
			"Living legend , guitar god"	
			As good as it's ever going to get	
			"So much talent in one person! Love, love, LOVE him!!"	
			Is there anything he cant play on the guitar?	
			Great show!!!	
Joshua Redman Quartet	https://youtu.be/E-Nc_m58TYc	E-Nc_m58TYc	my God... McBride swings so damn hard it doesn't matter who is soloing over that bass they will be forced to swing	
			Art Blakey trying to eat Christian Mcb's necklace	
			"Hahaha, nothing like seeing Blade and Mehldau in suits that are way too big"	
			"Been listening to music for 60 years, this is the best concert I've ever heard in any genre. Astonishing."	
			jazz can still swing!!!	
			"brilliant, swinging music.  great young guys of  the future."	
			Wow!!!!	
			Second tune would later be titled Rejoice!	
			mr Brad Mehldau on piano	
			Whooaw !	
	https://youtu.be/SVNKQtPvv00	SVNKQtPvv00	We need a Tiny Desk Concert with these guys!	
			Brian Blade is so subtle and sensible with his playing.. it's like hearing the love child of DeJohnette and Elvin Jones	
			This is great! 	
			This is great. Redman is on another planet. 	
			"This was absolutely wonderful. Incredible musicians, thank you for the performance."	
			I truly believe that this quartet is right up there with the John Coltrane Quartet.	
			Amazing set	
			This is so perfect! Awesome concert! Awesome musicians! 	
			HEAVEN MUST BE LIKE THIS!	
			INCREDIBLE SYNERGY!!!!!!!!!	
FKJ	https://youtu.be/ftLxvw_eFN0	ftLxvw_eFN0	why is nobody naked	
			This is what live DJ performances should be like!	
			This guy is really amazing!	
			"Not only does he make incredible music, but his performances are great too."	
			FKJ is insanely talented!	
			"To be honest, this is the best mixtape i've ever heard"	
			Never get tired of it!!	
			FKJ is always on point man he never disappoints.	
			"FKJ improvising again like a boss, truly a talented guy."	
			dude's a genius.	
Aphex Twin	https://youtu.be/5yQRp4j2RQM	5yQRp4j2RQM	Is good to know Richard is visiting the earth nowadays	
			Half-Life 3 confirmed.	
			STONE IN FOCUS	
			Everybody is on drugs at this concert.	
			so many drugs were taken	
			"Rich and his wife bring a 909, seq and some synths and modular up along with the set! SO DOPE!"	
			that noise you hear while the Stalker is taking you to the Zone	
			"Last time I was this early, the stretch white limo hadn't even hit the car yet."	
			He deserves Nobel prize for innovation in music and effects	
			This is the proper rave sound. The actual future to all those sounds we grew up on. Great set.	
	https://youtu.be/961uG4Ixg_Y	961uG4Ixg_Y	richard that was very good	
			bruh lets all just appreciate how well this video is put together	
			Nice to see the kids getting down to some dad music	
			7\	
			girl with the Aphex mask is extremely fashion forward	
			INSANE	
			"this man is one of the best creatives, artists, people in the world and nobody will convince me otherwise."	
			"Best, most influential electronic artist of all time. Thank you so much."	
			that melody will blow my mind forever	
			"You've got so many machines, Richard."	
Chvrches	https://youtu.be/1L9iUhiOXbE	1L9iUhiOXbE	Finally!	
			This is the first time I've heard chvrches and I'm impressed.	
			That was one of the sickest intros I've ever seen....	
			"Shes gotten better at performing, she used to be real shy and quiet while singing."	
			Why is Tether so underrated	
			They should play Strong Hand in their playlist.	
			Such a great setup!	
			Best KISS show I've ever watched!	
			love the face paint!	
			I'm in love with this performance	
Belle and Sebastian	https://youtu.be/r2Y-H0v2pms	r2Y-H0v2pms	I love Belle and Sebastian ❤	
			stu looks like is having the time of his life	
Zedd	https://youtu.be/oVwEiNdpKeE	oVwEiNdpKeE	Zedd is brilliant. So happy this guy exists.	
			best zedd track of all time	
			This is one of the sickest intros out there	
			i love this setlist!	
			when the molly hits soooo good	
			god level intro !!!!!!	
			His best set ever... Amazing and full of masterpieces	
			That intro gives me goosebumps :D	
			EPIC!!!	
			Zedd my mannn	
	https://youtu.be/t5-PcziC7B0	t5-PcziC7B0	ZEDD did completely amazing!	
			I feel this man	
			He's the only person who got the crowd dancing 	
			The first song always reminds me of Avicii	
			He is the most energetic DJ I've ever seen	
			I love how happy he is. Seeing him happy makes me happy	
			I find it extremely cute that he sings along	
			This crowd dont deserve him	
			it's so rare that zedd gets to perform but I love it anyway	
			Worst crowd ever they don't deserve zedd	
Khalid	https://youtu.be/KdGQu7JRcXw	KdGQu7JRcXw	The only singer who does cardio while singing.	
			I rarely like every song from an album.	
			The opening sounds like the opening to a church service haha it’s awesome	
			His band is incredible and they really give that energy he needs to be comfortable in transpositions and octave changes.	
			i thought he was better live	
			I'm in love with Khalid's voice <3 <3 <3	
			"He just.... He's so good, man."	
			"This kid is a great talent,I hope he goes far"	
			I love his Vince costume	
			dead crowd	
James Brown	https://youtu.be/m-Oq54jFAAs	m-Oq54jFAAs	"When it comes to singing, dancing and entertaining he is the real King."	
			James Brown is a national treasure.	
			"James Brown is like a wild man on stage - all that energy, singing, and dancing! Excellent performance!"	
			"the great James Brown, The King Of Soul."	
			the best forever James brown	
			See how the band tightened up as James hit the stage!	
			Does somebody knows who are the two bassists playing ?	
			JAMES BROWN--GREATEST PERFORMER THAT EVER LIVED!	
			This is one of the rare times we get to see the great Jimmy Nolan on guitar.  Funk guitar icon !	
	https://youtu.be/QcwhS3VgHpI	QcwhS3VgHpI	All you idiots criticizing his performance. At 66 he was STILL better than anyone performing today.	
			Two Bass players?  If that's what it takes to back up the GFOS. So be it.	
			If James Brown was never born there'd be no such word as funky	
			The majority of the drunk idiots of the audience didn't deserve such a show.	
			Dude had a body guard walk on stage with him!  PIMP!	
			"What an incredible amount of work it must have taken to arrange, choreograph, stage, and rehearse a show like that."	
			wow no cellphones in the air	
			THE KING OF FUNK MR. JAMES BROWN	
			James Brown he is a legend	
			"now this is my kind of music, live band! you can't get no better than this!"	
Sarah McLachlan	https://youtu.be/Yr0vJIs4-pk	Yr0vJIs4-pk	She's so talented :)	
			Uniquely Amazing!    She was born to sing.	
			Thank you Sarah for sharing your gift and spirit.	
			one of my favorite singer with a gifted voice!	
			What a treasure.	
			I will listen to her do Possession any way she wants to do it.  What a talent.	
			amazing!	
	https://youtu.be/-Afr_MOSAQg	-Afr_MOSAQg	Love you Sarah!	
			So sweet that she played I Love You for one of her fans.  Sarah is such a beautiful soul!	
			What Talent!	
			Her voice never changes. .voice of angel and in the arms of an angel .	
			"Her voice touches & moves my spirit, I always get lost in it"	
			An amazing voice I will never get tired of hearing	
			"So beauiful, so relatable, emotionally... so raw. Touches my soul"	
			LOVE THIS ARTIST!!	
			Once in a lifetime artist folks!!!	
			She's utterly brilliant. I love her so much	
James Blake	https://youtu.be/o2BVk5tWciI	o2BVk5tWciI	the devil asks James to marry him	
			Much respect to James Blake.	
			"Shoutout to the person who screamed,""MARRY ME!"" "	
			The first 7 minutes are incredible..................................................	
			"""To the Last"" was performed absolutely flawlessly!"	
			"The lights were spot on, hardly ever see that"	
			I really want to sing like him	
			"Love the first 7 minutes, good way to start a show."	
			jesus christ this is amazing	
			Best haircut's Ever!!!	
	https://youtu.be/j4qfT2dxU6E	j4qfT2dxU6E	It's difficult for me to comprehend how much of an underrated musician James Blake is. He's an incredible talent.	
			"hahah the crowd wows got looped with his vocals on ""I never learnt to share"""	
			Might be the best concert I've ever seen	
			i like these beats. its like the prefect mix of hip-hop bass lines and techno.	
			"I think, James Blake is one of the best musicians of our time"	
			"Every time I listen to James Blake I get emotional, his music evokes such an uncontrollable response from me."	
			"""Aww. Aww. Aww. Omlette, Omlette havin' it here.""  - that's the starting lyrics for you."	
			all i have to say is this is profoundly good 	
			 what a brilliant performance and brilliant song! love it so much	
			The opening song tho. 	
Bon Iver	https://youtu.be/YJNi7aRwUzU	YJNi7aRwUzU	So much credit to whoever mixed the audio. They did an incredible job	
			The drummer looks like Socrates	
			I feel like attending a Bon Iver concert would be a spiritual experience	
			"This DEFINITELY needs to be set as a live album and put on itunes, spotify etc. Incredible performance!!"	
			Imagine Bon Iver and Sigur rós in an album together	
			The dislike button should be disabled for this masterpiece.	
			The dude on drums plays with so much raw emotion	
			This might be the most beautiful version of Creature Fear I've ever heard	
			This is a masterpiece.	
			His songs sound like someone accidentally fell on a piano but hit the perfect note.	
Kraftwerk	https://youtu.be/vNoFHdlMrtI	vNoFHdlMrtI	"""I guess you guys aren't ready for that yet, but your kids are gonna love it!"""	
			MUSIC NON STOP !!!!	
			The faces on people wondering wtf is happening. Brilliant.	
			Best Boiler Room ever!	
			is this the future or the past????	
			The Stone age of electronic music.	
			the moment techno was born	
			rave whistle was invented at this show	
			The camera crew got a bit experimental also.	
			Techno rave is made by Germany. First Base line ever.	
Kylie Minogue	https://youtu.be/xqtS6Meh5R4	xqtS6Meh5R4	Madonna admires Kylie and Kylie admires madonna. Enough said. You both rock. 	
			This is the reason why she is so sucessful	
			I'D SAY SHE IS THE QUEEN OF LIVE SHOWS :)	
			Kylie is the Queen... <3	
			Amazing gig she's so down to earth.	
			Kylie the Diva! She can rock costumes like this and still look fabulous haha!	
			Queen of pop with out a doubt	
			the Best show girl !! ❤❤	
			"Kylie is a wonderful woman. She'll the queen of international super-POP, forever."	
			"Kylie rocks,amazing live performance!"	
Snoop Dogg	https://youtu.be/6_h75JXBnSo	6_h75JXBnSo	how bout the band?! DAAAAAMN! Hope they're still the same members! The drummer and bass player were killin it!	
			Nawww that dead crowd don't deserve Snoop	
			Snoop dogg them damn musicians right man idk wat they was puffin on but damn boi	
			The Drummer is so sickkkkkkk -	
			Soopafly on the keyboard!	
			No setlist because everyone watching this is high lol	
			called it. Excellent performance.	
			Snoop Killed It.	
			i luv this guy no homo.... great show Uncle Snoop	
			REST IN PEACE LOS (Drummer)	
Harry Styles	https://youtu.be/kxLG2yqTPWU	kxLG2yqTPWU	"""hi, i'm harry styles, i'm sixteen, i work in a bakery"" iconic :)"	
			It’s just the cutest thing that Harry just introduces himself like no one knows who he is	
