ARTIST	LINK	ID	COMMENT	
			"Sometimes i'm really proud of being a swede. Best live band ever, Fagersta finest."	
			Good performance	
			The Hives in their prime!	
			still the best live band in the world!	
			THIS IS ROCK AND ROLL THIS IS THE HIVES	
			ohh boy	
Papa Roach	https://youtu.be/4w_OVYeea6c	4w_OVYeea6c	Respect  to Papa Roach. So many years playing and they still show so much energy!	
			"This man to this day still sings his heart out, so proud to be a fan."	
			The crowd is too calm at the beggining. And Jakob awake them ... nice job	
			I'm really pleased with this one. Hair was on point	
			Shaddix is a monster	
			This is one of the best Papa Roach's perfomances I've seen in  while! Also Anthony is doing an amazing job.	
			"how the hell does he sounds so good for so long, this guy is a rare gem"	
			"Jacoby is the best front man of a generation, always on point."	
			Take my moneeeeey!	
			They still rock!!! Great sound!  awesome!!	
	https://youtu.be/CFecEDvIxok	CFecEDvIxok	Mixing guy is a bassist.	
			Papa Bass - i like	
			Its like im hearing the guitar from a phone speaker and the bass super boosted	
			Good band  ; )  let's rock	
			Last Resort	
Linkin Park	https://youtu.be/7Mxg4VkkRRI	7Mxg4VkkRRI	I WENT WITH MY MOM! THANKS MOM!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	
			"Yup, Linkin Park still hits harder than Covid."	
			This is the best concert of their entire career.	
			"Whenever Chester screams, the crowd just go Crazy . What a power ."	
			So goddamn perfect it sounds like a studio recording	
			This was his prime. The power and the raspy voice at the same time.	
			How does chester sing like that for a whole concert? crazy	
			Chester one of those people who sound better live	
			Cant believe how good Chesters voice is live. Crazy.	
			One of the few bands that I will always think sound better live	
	https://youtu.be/VEljwjZen-A	VEljwjZen-A	There's no doubt this was one of Chesters best vocal performances. The stars aligned for him that night. True art here.	
			Greatest band of all time.Wish i could have seen them in concert with chester live.	
			My favourite band ever	
			This concert is chester's legacy	
			So beautiful sound	
			This is one of the best performances i've ever seen	
			Unbelievable. I have a background in classical voice and I'm a professional pianist.  His voice endurance is arguably the greatest of all time.	
			Watching these LP live shows makes me cry	
			Chesters voice was on point in this concert	
			MY GOD THIS IS GOOD---WISH I WAS THERE!	
AC/DC	https://youtu.be/lfSWQtCpEFk	lfSWQtCpEFk	“We don’t speak spanish very well but we speak rock n’ roll very good”	
			it’s one of my favourite live concerts ever! Brilliant stuff!	
			This crowd is FUKIN Insane!	
			THE BIGGEST CONCERT IN HISTORY TO TAKE PLACE AT A SECOND DIVISION CLUB STADIUM	
			The greatest Rock and Roll band EVER And what a concert	
			"""And God Said: Let There Be Rock!"""	
			River Plate is the ultimate audience for any rock band.	
			"And this, kids, is what real music means. Listen and learn."	
			Ac dc live at circus krone full.	
			This is exectley what Human beeing is about. Love it	
	https://youtu.be/epSe9V5ngeo	epSe9V5ngeo	bon scott ... best hard rock vocalist of all time... in my opinion	
			Bon Scotts jeans had to be surgically removed after the show.	
			True legends of rock	
			"my mom was always blasting acdc when I was little, thanks mom!"	
			Angus Young jumping all around on stage with his guitar yet keeping perfect control...always impresses	
			One of my first concerts.	
			Angus has some of the best vibrato I've ever heard.	
			Goddam Bon Scott was the real deal!	
			Bon Scott probably made groupies pregnant just by looking at them.	
			Damn Bon could sing like a beast live.	
Slipknot	https://youtu.be/QO3j9niG1Og	QO3j9niG1Og	Why does Corey’s mask make him look like a scary Ed Sheeran in this?	
			the only harmless thing in this concert is the giraffe	
			Corey’s voice is a lot better now than on the gray chapter era	
			AAAAAAAARRRRGGGGGGHHHHHH	
			Corey’s mask is what I look like when my allergies struck	
			Coreys mask looks like it has melted into his face	
			"Slipknot are like wine The more it ages, the more is good"	
			"You can tell how proud Corey is of his screams, he’s practically grinning the whole concert."	
			"Corey don't need autotune, autotune needs him."	
			The VOCALS are out of this WORLD!	
Metallica	https://youtu.be/zFJ4H0t7dWs	zFJ4H0t7dWs	"""Bleeding Me"" is such a beautiful song. And quite underrated too."	
			Who’s hoping for Kirk or James to do the intro this time?	
			they need to play bleeding me again. absolutely one of their BEST songs	
			Hetfield looking great here. Goatee James is underrated.	
			Metallica has insane luck with bassists	
			We need more bleeding me in Setlists	
			"Metallica is my therapy.  So  happy they exist, the earth would be a lesser place without them."	
			Creeping Death will forever be the best opener	
			The best band of the world. My friends forever ...	
			Devils Dance was definitely the surprise of this show	
	https://youtu.be/mJje9Xpp5GE	mJje9Xpp5GE	One of Metallica’s greatest accomplishments is  how they’ve managed to appeal to the same age group decade after decade while also retaining their aging fanbases. What a timeless band!!!	
			This was an absolutely kick ass show.	
			First gig I went to after kicking cancer's ass where I had energy for the whole set.	
			It’s so cool seeing the raindrops fly everywhere when Lars plays his drums!	
			That little solo in St. Anger was more unexpected than the Spanish inquisition	
			"The more pressure there is on Metallica, the better they play."	
			I still can’t get over how badass master of puppets was	
			"THAT EXTENDED VERSION OF ""MEMORY"" IS SUPER COOL !!!"	
			Props to Trujjillo for not dying his grey.	
			When playing 'One' and trenchfoot is an actual possibility	
	https://youtu.be/pjGYBktU71I	pjGYBktU71I	"The era when James went full trailer trash, Kirk looked like Michael Jackson, and Jason was just a head banging neck."	
			"I call this haircut on James, “The Kentucky Gentleman”"	
			"couple of good rare ones on the setlist, can't believe they played Enter Sandman"	
			Is it just me or does Newsted make everything better.	
			Jason Newsted was just perfect match for the band	
			50% of the metal energy in concert is due to Jason.	
			It would be nice if James and Kirk would crawl out of the hole they're hiding in and introduce one of these shows!	
			"The God that failed , proshot in 1994 , finally"	
			This was peak James hairstyle. So badass	
			Jason Newsted Forever	
Nine Inch Nails	https://youtu.be/LBC3NXnN8y4	LBC3NXnN8y4	Trent Reznor is the proof you don't need tattoos or piercings to be cool.	
			Thank you Trent.	
			That drummer is absolutely killing it.	
			"Trents looks 40.  Mick Jagger looks 1,000."	
			"The bass is so good especially with a nice set or headphones, they were on their shit this night"	
			absolutely love how the world keeps changing but his stage still looks like a map from Quake.	
			That bass player just went to play bass. He never moved.	
			How about that drummer?	
			Who the Hell is this amazing drummer? Crazy energy	
			Back up singer is Lisa Fischer... 	
Green Day	https://youtu.be/dO-Y_fMuc4c	dO-Y_fMuc4c	Billie is the only middle aged man in the world that could still pass as a teenager	
			Green Day are always so damn amazing live! 	
			Billie Unlocks Double Jumping	
			I admire everyone today who still loves new and old green day	
			Billie is the only middle aged man that vendors asks for ID when buying alcohol...	
			Who ever mixed this you are a god	
			Billie forgot his eyeliner	
			Looks epic!	
			Revolution Road :/	
			"Come on billie, where's When i come around?!"	
Liam Gallagher	https://youtu.be/37BDUBe6Tfg	37BDUBe6Tfg	All the Oasis tunes sound better when Bonehead is on the guitar.	
			Bonehead: The only guy in his 50s who can pull off wearing an adidas tracksuit.	
			Ive just realised bonehead was what I liked about Oasis's sound	
			Liam seems to feel more confident with Bonehead on stage. He should play permanently. We have 2/3 of Oasis there.	
			Has there ever been a cooler man to play the tambourine	
			Nobody is gonna say something about Sad Song? Greatest live version ever	
			Looks like Bonehead has given Liam's band a lesson or two...	
			Liam doesn't need Noel But Liam needs Bonehead !!!!	
			Can’t have enough Bonehead’s comments. He’s fkin LEGEND	
			Noel needs Liam so much more than Liam needs Noel.	
	https://youtu.be/EnzVduS-vyE	EnzVduS-vyE	biblical	
			Best liams been in 20 years! The man is back.	
			The Rock N Roll is Liam Gallagher.	
			Liam is on absolute fire! 	
			Epic and BIBLICAL!! It's historic!!	
			"Amazing , John Lennon reincarnated"	
			"Bang on, ""gone"" was amazing"	
			Gone is a huge tune!	
			One word only: EPIC!	
			Once is one hell of a song	
Noel Gallagher's High Flying Birds	https://youtu.be/WyYWRrqLOSA	WyYWRrqLOSA	"Noel just seems to get better and better as a singer, songwriter and guitarist. Such a legend."	
			Man who built the moon is a tune	
			"Liam is an entertainer, Noel is an artist"	
			´Alone on the rope´ should be on an album. Genius	
			Awesome I cant believe he played alone on the rope	
			I love how Gem plays the guitar!!	
			Alone On The Rope is such an incredible song.	
			This man is GOD.	
			Fort Knox is the perfect opening tune for a live performance!	
			"Really respect Noel as an artist, love him!"	
	https://youtu.be/BbEEcP79IDI	BbEEcP79IDI	NGHFB are amazing! 	
			Pretty cool that he uses the Adidas J-200 for the Oasis numbers	
			Yeah baby yeah!	
	https://youtu.be/GnnfXPJxnCo	GnnfXPJxnCo	Only Noel can open a show with a B side. Brilliant....	
			"If Oasis gets back together, they're going to make one of the best albums ever. Both Noel and Liam are on fire."	
			Never understood why people use their phones to record a gig which is being recorded with TV cameras. 	
			"This audio is stunning. Well done. Also, this performance is the reason why Oasis won't reform. Noel is on fire at the moment."	
			"Noel hasn't lost it. The voice isn't any different from the recorded tunes, if not better."	
			This is arguably one of Noel's best sets. And it also pretty much says oasis are done. He doesn't need them. 	
			"This sounds absolutely incredible. Unreal Audio, Noel never disappoints like."	
			"And Liam said Noel was the ""weird"" one.  Maybe Liam is an alien."	
			"Everybody's On The Run, The Dying Of The Light and If I Had A Gun gave me goose bumps..."	
			I can't think of anyone else who still writes songs like this.	
Foo Fighters	https://youtu.be/jcwBsntqjmY	jcwBsntqjmY	The fact they got Jimmy Page and John Paul Jones is the coolest thing ever	
			One of the best shows all time.	
			"A concert without smartphones, that must be crazy."	
			"""Dude, where are you going?"""	
			When Dave sings he looks like he’s riding a horse	
			The best show I've ever seen.	
			"Dave is my new god, after Frusciante, but who knows... OMG love this guy sooo much. Btw drummer is amazing too. Nope, Dave IS the best!"	
			Time to fight the foo	
			Times like these makes me wanna cry	
			whenever i saw Pat playing...i see happiness	
	https://youtu.be/A8z6rbmx7Mg	A8z6rbmx7Mg	Short haired Dave scares me	
			"The mix is absolutely insane, might be the heaviest live recording of theirs I've ever heard"	
			The foos never disappoint.	
			This show is incredible	
			They should play In Your Honor and DOA more often!!!	
			Taylor with short hair Looks like a member of the bee gees	
			It's times like these you learn to live again...	
			One of the best groups ever	
			Still My favorite all time band.	
			One of the most awesome shows ever	
Red Hot Chili Peppers	https://youtu.be/PNd7cRl6Bfg	PNd7cRl6Bfg	This is the very first show of their Californication tour	
			Emit remmus is a great opening	
			Slap in you face!!	
			that frusciante fuzzy tone is amazing!	
			Amazing quality!	
			best performance of power of equality.	
			Oooooooouhhhh how off was Frusciante in Around the World hahahaha	
			Temp rising and the heat intensifies	
			John frusciante feeling	
			Got scared when I saw flea up close sigh	
Guns N' Roses	https://youtu.be/UTulnklNm2Q	UTulnklNm2Q	I can’t believe SLASH is 54 years old.	
			Axl sounds more like mickey.	
			"If Axl had stuck with his Brownstone voice on Slither , it would have been epic!"	
			The Best Band in the worl !!	
			"Oh, the old good times when we could rock outside..."	
			I’m impressed that Axl did this song.  Slither I mean.	
			Axl would sound so much better if he just went down an octave.	
			When your bassist sounds better than the lead singer.	
			They should do these every Monday like Metallica.	
			Axl is awesome but slash carried the show i havent see him so energetic for a long time	
Sex Pistols	https://youtu.be/QBVDSz5Qd6g	QBVDSz5Qd6g	This sounds so bad and so damn good at tha same time. Legends	
			"Johnny Rotten is an incredible front man, sarcastic, cynical and with a very original voice, he is the joker on the stage"	
			I can't complain. Sid's bass playing skills are wayyy better than mine lmao	
			drummer deserves more credit than he got...	
			"i don't care what the general consensus is, I love this show."	
			johnny looks like he wishes he was in pink floyd.	
			John Lydon. One of the legendary Voices.	
			It's a miracle they got through this one hour show still standing up.	
			"For a guy who can’t play bass, „not even a bit“ Sid‘s playing is pretty solid."	
			Pretty vacant has got to be one of the best songs ever written.	
Lou Reed	https://youtu.be/yOoXjYppyMM	yOoXjYppyMM	Lou Reed had really amazing posture.	
			"We need more volume to Mr. Robert Quine, please"	
			Robert Quine on Lead Guitar!!!	
			Lou Read is one of the most underrated artists ever.	
			Makes my day. R&R sure is fun!	
			He's actually happy	
			"""...her life was saved by rock n roll"""	
			I can die peacefully having seen this dude (and band)  live	
			Man his voice sounds just fine. Usually at this point you'd notice some weakness.	
			Incredible.	
Grateful Dead	https://youtu.be/VnCvS2A7REo	VnCvS2A7REo	There is literally NOTHING better than a happy Jerry Garcia.	
			"Stay gold, Brent."	
			May the wings of Angels surround and protect you like the softest warmest blanket you have ever felt.	
			Imagine that! Bobby with Bobbie pins in his hair	
			"Turn off your mind, relax and float down stream..."	
			This is an excellent show....best “eyes” ever...& “he’s gone” on point!	
			This concert changed my life.	
			My goodness the boys were hot tonight. 	
			With a doubt! Nothing like a Jerry smile to make everything perfect!	
			That was Awesome.... 	
Sum 41	https://youtu.be/DTIKGtUbRqU	DTIKGtUbRqU	This just proves that small venues are the best for the band and crowd interaction.	
			Props to the sound guy. This sounds AMAZING!	
			It's great to see Deryck back after all that shit! Thanks man!!	
			Whoever mixed the audio is a God those drums sound amazing!!!!	
			"This is what a concert is about, the band and crowd having a good time"	
			These guys were always a very different breed than the average pop-punk Mtv fodder bands of the early millennium.	
			"These guys are like wine, the older they gets the better they are!"	
			Now this is a great crowd: no phones and enjoying the moment.	
			The sound quality of this recording is incredible	
			That new song sounds even better live!	
	https://youtu.be/6F7qretnMAs	6F7qretnMAs	Epic drumstick fail	
			First three records are classy and flawless.	
			oh god that fat lip intro was spot on	
			nostalgia	
			I wish the bass was louder	
			"That random Slayer cover cracked me up, I believe Brownsound is a huge Thrash fan, I got his solo CD with his brother very good shit!"	
			someone likes slayer	
			This is cool	
			Aha wrong lyrics during rhythms that's cool	
			Ahhhhh back when they were cool	
My Chemical Romance	https://youtu.be/Ud2eziOjjTo	Ud2eziOjjTo	when my chemical romance is more active than twenty one pilots	
			STILL THE BEST BAND EVER !	
			"""I'm not a hero"" is one of the most incorrect things Gerard Way has said."	
			This is the closest i will ever be to an mcr concert...	
			WHEN GERARD CHICKEN DANCED AROUND THE STAGE WHEN RAY WAS DOING HIS SOLO DURING TEENAGERS	
			Forever thinking about how Frank stayed onstage to watch Gerard sing the last song	
			I can’t comprehend how some people don’t like mcr. They are perfect.	
			Anyone else notice gerard's chicken sance during teenagers?	
			I’m simping so hard for Gerard in this concert	
			This is gotta be Gerard's best look	
Paul McCartney	https://youtu.be/1QGxFpSb6Sc	1QGxFpSb6Sc	He’s nearly 80 and he can still perform Helter Skelter. One statue does not do Paul McCartney justice.	
			Linda would be proud.	
			The word LEGEND doesn't do Paul McCartney justice. The greatest of all times!	
			Who is complaining about his voice !!! 	
			We  are all blessed to  have Paul McCartney in our life's	
			"The Greatest Songwriter Who Ever Lived, and lives."	
			You are great Paul. A living legend of rock.	
			I still can't believe how good his voice sounds at 76!! Incredible!!!!	
			"The oldest songs sound so fresh and so beautiful, simple and authentic. They sound like an eternal spring."	
			THE MUSIC OF THE BEATLES / PAUL MC CARTNEY IS IMMORTAL!	
Queens of the Stone Age	https://youtu.be/79yiz_Zb7fE	79yiz_Zb7fE	epic!	
			"I agree, one of the best lineup."	
	https://youtu.be/ExGw382UGZU	ExGw382UGZU	Being a drummer in a QOTSA'S show is equivalent to running a marathon	
			Better Living is such an under used and underrated jam	
			Man! The sound of this gig is delicious!	
			"Such a great performance, QOTSA one of the best live performers in the business"	
			This version of better living is the best I’ve ever heard!!! Mad props	
			What a great show!! One of their best for sure!	
			amazing performance as always !!	
			The definitive setlist!!!!  WOOOOOOOW	
			this is the best!	
			I had the pleasure to be there. Great gig!	
Pixies	https://youtu.be/KsxNpBou1Ts	KsxNpBou1Ts	Pixies is one of the best bands ever. It changed rock music.	
			Hell yes!	
			Long live to the KingS	
			Wowowo	
Imagine Dragons	https://youtu.be/NapLxHp09DU	NapLxHp09DU	The only band that is much better in live performances	
			It's great how happy he is with jumping and hopping around the podium	
			When his fans know the lyrics better than him xD	
			he's actually wearing a shirt what the heck	
			"I always wish you could perform Monster and Warriors, these two songs are gold to me ♥️"	
			"I love Imagine Dragons soo much. The passion and love put into their songs, and the joy on their faces when they're on stage just makes me so happy."	
			I nearly cried from Dan Reynolds speech during Demons.	
			Don't we all wish we were a rockstar singer like dan	
			"I swear, anyone could propose to me at an Imagine Dragons Concert and I'd say yes."	
			I teared up when demons started	
	https://youtu.be/M96oleMSx-c	M96oleMSx-c	only person in my school and my family that enjoy IMAGINE DRAGONS	
			"Best band ever!! I love how they don't put all kinds of trash and junk into their lyrics like everyone else. They are a one of a kind band, my personal favorite band ever."	
			"Wow i was a casual imagine dragons fan before, just knowing their radio songs, but after seeing them performing live last thursday, i fel in love with them!"	
			"Dan is making me want to purchase everything he has ever made, what an amazing guy!"	
			The happiness in Dan's face is like the best. Me da vida we	
			Dan has the most adorable smile I have ever seen	
			"The bass solo before ""Amsterdam"" is just amazing"	
			IMAGINE DRAGONS DOMINATING THIS WORLD!!!❤	
			I love Imagine Dragons so much that I seriously don't care whether they performed many songs from their new album or not. :)	
			My daughter is obssed with this band. She made it her goal to learn all the lyrics all there songs.	
	https://youtu.be/Iz3ETf0Fqys	Iz3ETf0Fqys	This guys never change IMAGINE DRAGONS NEVER CHANGE ♥️	
			"best band ever, I love their songs they convey love and that's amazing ...."	
			we always need to appreciate how amazing imagine dragons is live	
			They are such a good band to see live!	
			I’m learning believer on my violin 	
			I love imagine dragons	
			Excelente simplemente increible!!!	
			I'm still grateful for thunder	
			You are really amazing!!! Love you guys!!! 	
			"great band, great direct"	
Bloc Party	https://youtu.be/aaVnpfAqCXg	aaVnpfAqCXg	kele needs to stop skipping leg day	
			"Kele.Singing indy is really great. And the music of the band has a creative idea to progress, there is something new to listen."	
			"Different music,and member,this girl not bad at drummer,go Bloc Party"	
			Shoutout to everyone with me in the moshpit at the front	
			Amazing band.	
			what a bangin set. awesome	
			Shreded Kele is Shredding the guitar	
			Masterpiece.	
			i have to admit that its actually a good performance...	
			best!	
	https://youtu.be/8nOsuuhQd1o	8nOsuuhQd1o	Bloc party is a powerful band because of Matt Tong	
			"Idc what anyone says, Four was awesome"	
			"Team A is so raw and pure, i love the energy of all four!!"	
			"Awesome, but does anyone else feel as if almost every song is slightly out of control?"	
			Love it! Just hate that Kele doesn't sing the original lyrics for disappear here at the beginning of the song.	
			wow amazing  ♥ ♥ ♫ 100% power	
Spoon	https://youtu.be/NwB7Bi5dQF8	NwB7Bi5dQF8	I love how Britt tries to fix his hair and just gives up.	
			"Spoon is the best, every album is epic, and they just keep getting better"	
			"A band that has not only gotten better w age, but that can more than deliver every time live. Spoon are ace."	
			"every once in a while in my life, I listen to Gimme Fiction, it is one of my favorite albums evah mofos."	
			Goddamn that’s a good set.	
			"If you want rock n roll, this is just about as good as it gets."	
			the intro to do I have to talk you into it is great	
			The bassline on don't you evah is so awesome. Still my favorite Spoon song.	
			"This hot show, especially Pink Up, blew me away. So many mesmorizing songs."	
			This is overwhelmingly amazing	
	https://youtu.be/0tdeWIIMHbA	0tdeWIIMHbA	how does spoon always sound Exactly Correct	
			I've seen spoon at least 12 times and never have i been anything less than amazed.	
			I don't know when but one day I will surely see you guys live. Awaiting that life changing moment.	
			legends	
			awesome!	
1975	https://youtu.be/5kiY87XLahk	5kiY87XLahk	The 1975 is the band that i want to listen when the worlds is ending.	
			I am now cured of corona virus	
			this was one of the most iconic shows of the decade	
			T H E   1 9 7 5   Y O U ' R E   M Y   M E D I C I N E	
			"George is a drum beast, such an underrated drummer, he doesn't need to play 200 bpm to be so good,god."	
			this is the prettiest thing that i ever see	
			My boyfriend just broke up with me today and I’m just here to comfort myself. Thank you The 1975!	
			"How ironic that when Matty sings ""I'm looking through you while you're looking through your phone"" a sea of phones can be seen in the audience."	
			"God, how i'm fallin love too much with this music"	
			"man, that performance of ""the sound"" is absolutely mental."	
Police	https://youtu.be/3RWbh9KKkdI	3RWbh9KKkdI	I'm convinced stewart Copeland thinks his drums owe him money.	
			God will people just start playing instruments again for the love of god.	
			Why do we spend billions on particle accelerators when science should just study Stewart Copeland's  drumsticks LOL	
			anyone who tries to say that Copeland isn't one of the greatest drummers ever to walk on this planet needs their head looking at	
			Copeland in his prime was like TNT with drum sticks attached	
			"Stewart and his extreme attack , Andy's layed back chords and Stings Vocals and Bass are all absolutely Brilliant ."	
			the only concert that the band played entirely in their pajamas.	
			"What a band, what a DRUMMER....Stewart Copeland = god with a drumkit"	
			Nice to see no smartphones in the audience! :D	
			Sting solo career was good....... but with The police he is a master with the masters stewart and Andy...	
	https://youtu.be/F4VjsqR5Vbc	F4VjsqR5Vbc	the hi-hat show: featuring The Police	
			Stewart Copeland = Legend	
			Copeland is just mesmerizing.	
			Stewart Copeland is absolutely awesome	
			"Drummer has some of the best percussion skills going, unreal"	
			The Police: now with 40% more hi-hat...	
			goddamn sting and that fretless bass on walking on the moon	
			Best drummer on the planet!	
			Walking on the moon. Damn. What a song!!	
			One of the greatest bands ever.	
Radiohead	https://youtu.be/C9_IhE5Xk0k	C9_IhE5Xk0k	i love how radiohead is releasing all this stuff it's so cool	
			King of Limbs is the definition of underrated...	
			i will force my children to listen to this	
			This is a good show because Thom has a ponytail.	
			they play in their own league... the most important band of the last 25 years...	
			Radiohead is an ancient treasure a moment of silence to the people that haven't heard them.	
			The end of Pyramid song is breath taking!	
			Thom dancing is so cool	
			Why does Jonny's guitar sounds so low at most songs?	
			Toms voice is totally on it through this whole thing	
	https://youtu.be/RjQZd8p-eBM	RjQZd8p-eBM	Back when Thom looked like a KPop star instead of homeless old man	
			Johnny Greenwood back when he was looking older.	
			6 years later this band released Kid A	
			It feels so weird that the audience isn't singing along to Fake Plastic Trees	
			"The ""My Iron Lung"" here is literally the recording used on the album. Fantastic stuff."	
			"There's something really special about ""Blow Out"""	
			They had such a different energy back in early 90's	
			Blow Out is really an excellent set closer.	
			Always weird seeing Phil with a wig	
			This is the most still i have ever seen Colin during a show	
	https://youtu.be/MuqDMOr_aLk	MuqDMOr_aLk	one of the best radiohead shows ever	
			I am listening in the dark with a glass of wine.	
			Its 4 am and I stayed awake for this	
			The National Anthem is always insanely amazing.	
			Finally i can watch Jigsaw Falling into Place live	
			"Best version of All I Need, hands down. Transcendental !"	
			Jigsaw Falling into Place	
			Best concert in my life!!!	
			One of the best Radiohead eras. Jonny's hair was fire.	
			best show ever by far	
Alanis Morissette	https://youtu.be/Y1RP0hXWgX0	Y1RP0hXWgX0	she makes it difficult for the snipers	
			She s Walked at least 20km	
			The bassist is the most 1999 looking man I have ever seen	
			Alanis was the Janis Joplin of this Woodstock '99 edition	
			Her voice is stunning. Just like it sounds on the albums.	
			Holy shit Alanis is good live. This set is off the charts good.	
			Alanis Morissette is a rock and roll goddess. Little pill was the soundtrack of the 90's and her and her band killed it at woodstock 99	
			This woman's voice is incredible! She's special.	
			She is authentic.	
			Great Performance... Awful crowd.	
	https://youtu.be/jIRmCrHFXBw	jIRmCrHFXBw	"How many of us love this woman? She's a music legend, she's an inspiration"	
			Ladies and gentlemen THE GODDESS OF ROCK. She is so powerful!!!!!	
			I still have the VHS in my cabinet	
			This is so iconic!!!	
			I Love THIS Era	
			I can't describe what I feel with Alanis. It's so true.	
			Amazing. When the world was just simply a better place.	
			One of my favorite albums ever	
			Blu Ray reissue please!	
			Thanks Alanis! we love u	
Phoenix	https://youtu.be/STixAvSrnlc	STixAvSrnlc	One of the most under appreciated bands in the history of music	
			Phoenix should be headlining Coachella	
			drummer is god	
			Kids better listening this band.	
			THIS SETLIST IS GLORIOUS!	
			"The drummer is soooo on point, perfect performance!"	
			Armistice is on a different level	
			"so freaking amazing, this band is absolutely incredible and so underrated, and the drummer is a legend for sure!."	
			I could watch the drummer all day long........damnnnnn......	
			That synth line is absolutely dominating this performance on J-boy.	
Starsailor	https://youtu.be/pOn3K86p--o	pOn3K86p--o	Been a fan since MGS3 which feels like so long ago.... Love your music!	
			Love it!	
			Class!!	
			Thank you for accompanying me from my junior years (2002) til this time. 	
			First song heard from them is Four to the floor when I was at middle school.	
			Fabulous.	
			Amo 	
			Man! Love it! 	
			Love this band	
R.E.M.	https://youtu.be/LuLH-Br7g0Q	LuLH-Br7g0Q	Like the country one too.....	
			We really needs these guys to start playing and writing again.  Such a void in music now.  They are way to good to stop playing.  Vacations over...lol	
			Amo !!!	
			"Your voice, heart, soul and eyes. WOW AGAIN AMAZING. just Julie"	
			Amooooo!!!	
			The best i ever seen...thanks REM!	
			most touching moment	
